비행시작일자,드론 비행대수,Drone 이름,포메이션 타입,출발지,목적지,출발지 좌표(경도),출발지 좌표(위도),목적지 좌표(경도),목적지 좌표(위도),비행 거리,비행 속도,방위각,비행시간
2016-02-21 15:21:04,2,venus|mercury,1,안암역,고려대역,127.029196643,37.586283911,127.03629823,37.590630832,790.2615050103911,50,52.0,57
2016-02-21 17:52:49,2,venus|mercury,2,안암역,고려대역,127.029196643,37.586283911,127.03629823,37.590630832,790.2615050103911,60,52.0,47
2016-02-21 18:10:32,2,venus|mercury,2,안암역,고려대역,127.029196643,37.586283911,127.03629823,37.590630832,790.2615050103911,60,52.0,47
2016-02-21 18:17:09,2,venus|mercury,1,고려대역,안암역,127.03629823,37.590630832,127.029196643,37.586283911,790.2615050104434,50,232.0,57
2016-02-21 19:03:53,2,venus|mercury,3,고려대역,안암역,127.03629823,37.590630832,127.029196643,37.586283911,790.2615050104434,50,232.0,57
2016-02-21 19:13:47,3,venus|mercury|earth,3,고려대역,안암역,127.03629823,37.590630832,127.029196643,37.586283911,790.2615050104434,50,232.0,57
2016-02-21 19:20:41,3,venus|mercury|earth,3,안암역,고려대역,127.029196643,37.586283911,127.03629823,37.590630832,790.2615050103911,60,52.0,47
2016-02-21 19:28:42,3,venus|mercury|earth,3,안암역,고려대역,127.029196643,37.586283911,127.03629823,37.590630832,790.2615050103911,60,52.0,47
2016-02-21 20:07:45,4,venus|mercury|mars|earth,4,안암역,고려대역,127.029196643,37.586283911,127.03629823,37.590630832,790.2615050103911,50,52.0,57
2016-02-21 20:19:31,5,venus|mercury|mars|earth|jupiter,3,안암역,고려대역,127.029196643,37.586283911,127.03629823,37.590630832,790.2615050103911,50,52.0,57
